name,firstName,country,title,studio,duration,year,category,genre,award,addon,
RUDNIK,Eugeniusz,Pologne,Mobile,,0:11:40,1973,,,1,,
APPLETON,Jon,USA,Stereopticon,,0:08:15,1973,,,2,,
KENNELL,Richard,USA,Fantasia and fugue (pour bande),,0:11:30,1973,,,3,,
SCHRADER,Barry,USA,Four pieces from bestiary,,0:24:33,1973,,,4,,
GOETHALS,Lucien,Belgique,Contrapuntos,,0:09:50,1973,,,M,,
KOLMAN,Peter,Tchéquie,Lentement mais pas trop,,0:10:35,1973,,,M,,
PONGRACZ,Zoltan,Hongrie,Mariphonia,,0:08:07,1974,,,1,,
PEQUENO,Ivan,Chili,Ahora,,0:16:30,1974,,,2,,
RUDNIK,Eugeniusz,Pologne,Ostinato,,0:16:10,1974,,,3,,
KUPPER,Léo,Belgique,Innominé,,0:30:00,1974,,,4,,
BERNARD,Pierre,France,Jérémie,,0:20:00,1974,,,M,,
MAZUREK,Bohdan,Pologne,Epizodes,,0:08:15,1974,,,M,,
ASUAR,José Vicente,Chili,Guararia repano,,0:14:21,1975,,,1,,
KOLMAN,Peter,Tchéquie,E 15,,0:11:50,1975,,,2,,
KUSNIR,Eduardo,Argentine,La panaderia,,0:09:30,1975,,,3,,
NIELSON,Lewis,USA,Traveler,,0:09:00,1975,,,4,,
BERGER,Roman,Pologne,Epitaph für Nikolaus Kopernikus,,0:19:20,1975,,,M,,
GREENHAM,,Danemark,Relativity,,0:10:00,1975,,,M,,
GUIOT,Dominique,France,L'oiseau du Paradis,,0:13:00,1975,,,M,,
HEIDSIECK,Bernard,France,Vaduz,,0:11:54,1975,,,M,,
KIMMEL,Walter,USA,American retrospective: nixon a just and lasting piece,,0:10:24,1975,,,M,,
PATACHICH,Ivan,Hongrie,Funzione acustico,,0:10:37,1975,,,M,,
ROSS,Harris,Nlle Zélande,To a child,,0:12:00,1975,,,M,,
ZOBL,Wilhelm,Autriche,"Andere die welt, sie braucht es",,0:15:00,1975,,,M,,
BODY,Jack,Nlle Zélande,Musik Dari Jalan,,0:08:20,1976,,,1,,
KATZER,Georg,Allemagne,RONDO,,0:10:00,1976,,,2,,
ROZMANN,Akos,Hongrie,Impulsioni,,0:11:00,1976,,,3,,
PLAIN,Gérald,USA,ripsnorter,,0:10:00,1976,,,4,,
DHOMONT,Francis,France,Syntagmes,,0:10:05,1976,,,M,,
PIGNON,Paul,Gde Bretagne,Microhabitat,,0:17:00,1976,,,M,,
RIMMER,John,Nlle Zélande,Where sea meets sky part 1,,0:08:38,1976,,,M,,
ROLNICK,Neil,USA,Empty mirro,,0:10:00,1976,,,M,,
VIERA,Julio,Argentine,Mutacion,,0:09:32,1976,,,M,,
VOIGTLAENDER,Lothar,Allemagne,Meditations sur le temps,,0:12:40,1976,,,M,,
DASHOW,James,USA,Whispers out of time,,0:11:17,1977,Analogique,,1,,
SMALLEY,Denis,Gde Bretagne,Darkness after time's colours,,0:13:48,1977,Analogique,,2,,
BEYLS,Peter,Belgique,It always takes a short time,,0:16:22,1977,Analogique,,M,,
KOBLITZ,David,USA,Wonders of the invisible world,,0:08:00,1977,Analogique,,M,,
KREIGER,Arthur,USA,Dance for Sarah,,0:08:30,1977,Analogique,,M,,
SCHUBERT,Mark,USA,Merchants,,0:11:40,1977,Analogique,,M,,
CRISTIANSEN,Svend,Danemark,Urvaerk,,0:12:00,1977,Analogique,,M,,
FREEDMAN,Hal,USA,"Skelelemedania (pour voix, électronic live et bande)",,0:23:00,1977,Mixte,,2,,
DASHOW,James,USA,Mappings (pour violoncelle etdispositif électronique),,0:16:58,1977,Mixte,,M,,
ORTON,Richard,Gde Bretagne,Ambience,,0:10:40,1977,Mixte,,M,,
VOIGTLAENDER,Lothar,Allemagne,"3 Elektronische studien (pour chant, piano et bande)",,0:09:40,1977,Mixte,,M,,
TRUAX,Barry,Canada,Sonic landscape n°3,,0:15:30,1977,Numérique,,1,,
APPLETON,Jon,USA,Mussems song,,0:08:10,1977,Numérique,,M,,
MELBY,John,USA,… of quiet desperation,,0:08:44,1977,Numérique,,M,,
RAMPAZZI,Tera,Italie,With the light pen,,0:08:30,1977,Numérique,,M,,
FISCHER,Martin,Autriche,Unter dem pflasterstein liegt der strand,,0:11:53,1977,Programme,,M,,
KELLER,Max,Suisse,Sicher sein…,,0:23:24,1977,Programme,,M,,
KREIGER,Arthur,USA,Thème et variations,,0:09:10,1978,Analogique,,2,,
ENSTROM,Rolf,Suède,Sequence in blue,,0:09:10,1978,Analogique,,M,,
RUDNIK,Eugeniusz,Pologne,4 poèmes (pour bande magnétique),,0:12:00,1978,Analogique,,M,,
DESCHENES,Marcelle,Canada,MOll (opéra-lilliput pour 6 roches molles),,0:23:00,1978,Mixte,,1,,
PATACHICH,Ivan,Hongrie,Metamorfosis per marimbafono e magnetofon,,0:08:34,1978,Mixte,,2,,
ZWEDBERG,Tommy,Suède,Face the music (pour trompette et bande),,0:10:00,1978,Mixte,,M,,
RAMPAZZI,Tera,Italie,Computer dances,,0:11:10,1978,Numérique,,M,,
SCHOTTSTAEDT,William,USA,Sandcastle,,0:09:10,1978,Numérique,,M,,
PARMERUD,Ake,Suède,Narheter,,0:19:45,1978,Programme,,1,,
WISHART,Trevor,Gde Bretagne,Red bird,,0:45:00,1978,Programme,,2,,
SZEKELY,Yvan,Hongrie,Folkronic,,0:18:50,1978,Programme,,M,,
ASCIONE,Patrick,France,Métamorphone d'un jaune citron,,0:14:00,1979,Analogique,,2,EA,
VINAO,Alejandro,Argentine,Una orquesta imaginaria,,0:18:00,1979,Analogique,,2,EA,
DHOMONT,Francis,France,Mais laisserons nous mourir Arianna ?,,0:15:22,1979,Analogique,,M,,
DONSKOY,Liliane,France,La légende des merveilles du monde,,0:16:52,1979,Analogique,,M,,
MANDOLINI,Ricardo,Argentine,Fabulas,,0:09:35,1979,Analogique,,M,,
RYCHLIK,Josef,Pologne,le rêve d'Eurydice,,0:08:33,1979,Analogique,,M,,
ORELLANA,Joaquin,Guatemala,Rupestre en el futuro,,0:25:00,1979,Analogique,,M,,
BENTLEY,Andrew,Gde Bretagne,Portrait (pour chœur et bande),,0:09:00,1979,Mixte,,2,EA,
RADOVANOVIC,Vladan,Serbie,Audiospacial (pour choeur et bande),,0:16:32,1979,Mixte,,2,EA,
COULOMBE St MARCOUX ,Micheline,Canada,Miroirs,,0:10:30,1979,Mixte,,M,,
KUBO,Mayako,Japon,Iterum meditemur (pour trombone et bande),,0:14:30,1979,Mixte,,M,,
SEGERS,Jean,Belgique,Study for horn and tape,,0:08:05,1979,Mixte,,M,,
MELBY,John,USA,Chor der steine,,0:09:35,1979,Numérique,,1,,
HEIFETZ,Robin Julian,USA,For anders lunberg : mardrom 29 30 10,,0:11:54,1979,Numérique,,2,,
ARFIB,Daniel,France,Le souffle du doux,,0:10:30,1979,Numérique,,M,,
MAC NABB,Michael,USA,Dreamsong,,0:09:10,1979,Numérique,,M,,
UNGVARY,Tamas,Suède,Akonel n°3,,0:10:00,1979,Numérique,,M,,
MERILAINEN,Usko,Finlande,Ku-gu-ku,,0:15:50,1979,Programme,,2,,
BRAUNINGER,Jurgen,Allemagne,Panta rhei,,0:11:40,1979,Programme,,M,,
MAZUREK,Bohdan,Pologne,Daisy story,,0:19:19,1979,Programme,,M,,
WESTERKAMP,Hildegard,Canada,Fantasie for horns,,0:13:00,1979,Programme,,M,,
DAOUST,Yves,Canada,Quatuor,,0:18:00,1980,Analogique,,1,,
